Label	EntryID	Published	Tweet(Title)	FavouriteCount	Geo	Source	AuthorName	AuthorURL	Language	Retweets	Timezone(blank)	UserListed	UserFollowers	UserTweets	UserFollowing
Rishi Sunak	1591199970417311746	2022-11-11T22:43:30.000Z	RT @tiffstevenson: Rishi Sunak fashion spreads! Finally objectifying the male politicians. Here I am on The Weekly talking about this in 20…	0		Twitter for iPhone	Tiffany Stevenson	tiffstevenson	en	1		0	0	0	0
Rishi Sunak	1591199963622838273	2022-11-11T22:43:29.000Z	RT @Britain_People: Rishi Sunak claims that the way to lift children out of poverty is to ensure they are not in workless households. Untru…	0		Twitter Web App	pancakeson	pancakeson	en	189		0	0	0	0
Rishi Sunak	1591199960757932034	2022-11-11T22:43:28.000Z	RT @afneil: ANDREW NEIL: Sunak and Hunt are about to CLOBBER the middle classes https://t.co/zqdzP6RMsI via @MailOnline	0		Twitter for iPhone	MichelleF 🇬🇧🇸🇪🇮🇹	MichelleFattoru	en	6		0	0	0	0
Rishi Sunak	1591199936154341379	2022-11-11T22:43:22.000Z	RT @LobbyComm: Rishi Sunak’s wife Akshata Murty lands £7 million payout ahead of Autumn statement cuts Akshata has collected £35 million in…	0		Twitter for Android	Jeff Moore🇬🇧🇪🇺🇺🇦🇵🇸#GTTO	JeffMoore58	en	178		0	0	0	0
Rishi Sunak	1591199913324744708	2022-11-11T22:43:17.000Z	RT @afneil: ANDREW NEIL: Sunak and Hunt are about to CLOBBER the middle classes https://t.co/zqdzP6AJqI via @MailOnline	0		Twitter for iPhone	Bobby Dazzler	MancEnAlsace	en	5		0	0	0	0
Rishi Sunak	1591199798417592320	2022-11-11T22:42:49.000Z	RT @implausibleblog: Dominic Raab outed as a bully.  How long before Rishi Sunak sacks him?	0		Twitter for iPhone	Margaret #FBPE 🇪🇺 💙	MargyMayell	en	214		0	0	0	0
Rishi Sunak	1591199791773470720	2022-11-11T22:42:48.000Z	RT @AngelaRayner: These deeply troubling accusations of bullying raise yet more questions about Rishi Sunak’s judgement. They must be inves…	0		Twitter for Android	teh-truth	dr3nai	en	1018		0	0	0	0
Rishi Sunak	1591199780335915008	2022-11-11T22:42:45.000Z	RT @Afzal4Gorton: Absolutely deplorable behaviour from the Justice Secretary.  This must be investigated immediately.  Terrible judgement f…	0		Twitter for iPhone	Sue #NHSLove 🕷	susiemichele	en	3		0	0	0	0
Rishi Sunak	1591199778956021766	2022-11-11T22:42:45.000Z	RT @p_beejal: The Covid track and trace app was social conditioning for #Agenda2030 - carbon tracking. At COP26 Rishi Sunak committed suppo…	0		Twitter Web App	Political B 🇬🇧🌸	p_beejal	en	7		0	0	0	0
Rishi Sunak	1591199724635590658	2022-11-11T22:42:32.000Z	RT @FullFact: We asked Number 10 to provide the statistics Mr Sunak was referring to, but we were not sent anything that directly substanti…	0		Twitter for iPad	turkgirl 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺	turkgirl28	en	609		0	0	0	0
Rishi Sunak	1591199690632024064	2022-11-11T22:42:23.000Z	RT @nadinebh_: More people voted for Matt Hancock to do the bushtucker trial tonight than voted for Rishi Sunak to be prime minister   We l…	0		Twitter Web App	AuDHD_Jen	JenniferBlanks8	en	4480		0	0	0	0
Rishi Sunak	1591199676489175043	2022-11-11T22:42:20.000Z	RT @Survivor542: Let's be honest, this government would sooner not pay pensions at all...that's becoming more obvious by the week...  Pensi…	0		Twitter Web App	Nikki	4ourdogs	en	26		0	0	0	0
Rishi Sunak	1591199649482051586	2022-11-11T22:42:14.000Z	RT @taylor1612: Don't VOTE #ImACeleb Matt Hancock to do trials.  Vote him out. You're turning him into a Hero This GOVERNMENT BETRAYED US…	0		Twitter for iPhone	Anthony Powell	AnthonyPowell9	en	13		0	0	0	0
Rishi Sunak	1591199649192644612	2022-11-11T22:42:14.000Z	RT @CarolineLucas: Laughable for Rishi Sunak to claim that he'll make the UK a "clean energy superpower	0		Twitter for Android	Thames BG Economy	ThamesBlueGreen	en	3454		0	0	0	0
Rishi Sunak	1591199636630704132	2022-11-11T22:42:11.000Z	ANDREW NEIL: Sunak and Hunt are about to CLOBBER the middle classes https://t.co/zqdzP6AJqI via @MailOnline	5		Twitter Web App	Andrew Neil	afneil	en	5		0	0	0	0
Rishi Sunak	1591199636009947137	2022-11-11T22:42:10.000Z	RT @Haggis_UK: The Guardian reporting that a handful of civil servants who worked with Dominic Raab... aren't happy about him coming back..…	0		Twitter Web App	Cath Cessford	CathCessford	en	362		0	0	0	0
Rishi Sunak	1591199630968193028	2022-11-11T22:42:09.000Z	RT @TheCentreLefty: While people are struggling with their bills Rishi Sunak’s wife Akshata Murty has just landed a £7 million payout.....	0		Twitter Web App	Jill Wright	JWright330	en	111		0	0	0	0
Rishi Sunak	1591199522566590464	2022-11-11T22:41:43.000Z	RT @DeathApeDisco: Another hopeless man-child in Rishi Sunak’s government, who mouths “wanker” at people and is a bully, whose behaviour wo…	0		Twitter for Android	karen armitage	wittynittwit	en	2		0	0	0	0
Rishi Sunak	1591199479109386240	2022-11-11T22:41:33.000Z	RT @lathamphil1: In my opinion  Brexit is under threat with Rishi Sunak and Jeremy Hunt in power.	0		Twitter Web App	MARGARETTE NAVIN	margnav	en	287		0	0	0	0
Rishi Sunak	1591199471270256640	2022-11-11T22:41:31.000Z	Williamson, Raab, Braverman, Harper... it seems Rishi Sunak deliberately appointed a gang of thugs as Senior Cabinet Ministers. We can only assume he has no respect for Civil Servants - &amp; if that's true he's going to find it totally impossible to govern  https://t.co/sCTwa6AIID	0		Twitter Web App	Bryan Smith #RejoinEU	BpsmithUk	en	0		0	0	0	0
Rishi Sunak	1591199449803476993	2022-11-11T22:41:26.000Z	Rishi Sunak says the state can't fix everything. They haven't fixed ANYTHING!  How many years has it been since they promised to repair the roads? By the time they finally get round to doing it, its going to cost 50 times more.	0		Twitter Web App	Lee Jennings	trojanhorse1962	en	0		0	0	0	0
Rishi Sunak	1591199339833356288	2022-11-11T22:41:00.000Z	RT @WritesBright: Interestingly, the influence of Tufton Street has definitely receded under Sunak – but many of the Tufton St advisors app…	0		Twitter for iPhone	piyakhanna@mastodon.online #SlavaUkraini #FBPE	piyakhanna	en	12		0	0	0	0
Rishi Sunak	1591199333642539009	2022-11-11T22:40:58.000Z	RT @ChrisPDuck: @OfficialEUA @RishiSunak Wife Lands £7 Million @Infosys Payout ahead of Autumn Statement Cuts   #GeneralElectionNow  #Torie…	0		Twitter for iPhone	Anthony Powell	AnthonyPowell9	en	1		0	0	0	0
Rishi Sunak	1591199255858913280	2022-11-11T22:40:40.000Z	And of course, Sturgeon &amp; Co set a great example with the respect they show for Westminster, don't they?  Rishi Sunak must give devolved administrations 'proper respect', says Nicola Sturgeon https://t.co/2nmbzIHw6W	1		Twitter for Android	Internationalist	JustOneWeeWorld	en	0		0	0	0	0
Rishi Sunak	1591199180860854276	2022-11-11T22:40:22.000Z	RT @TheDisproof: https://t.co/dmsxFtc0iE "not technically a subsidy"... no, just a huge tax loophole that makes the windfall tax as weak as…	0		Twitter Web App	Mike Wright	mike42w	en	4		0	0	0	0
Rishi Sunak	1591199174447362048	2022-11-11T22:40:20.000Z	ANDREW NEIL: Sunak and Hunt are about to CLOBBER the middle classes https://t.co/zqdzP6RMsI via @MailOnline	15		Twitter Web App	Andrew Neil	afneil	en	6		0	0	0	0
Rishi Sunak	1591199085234917378	2022-11-11T22:39:59.000Z	RT @ExcludedFighter: Is there any updates @LaylaMoran @wendychambLD @LibDems about @RishiSunak's Green card  After what he's done to millio…	0		Twitter for iPhone	Margaret #FBPE 🇪🇺 💙	MargyMayell	en	9		0	0	0	0
Rishi Sunak	1591199084798709763	2022-11-11T22:39:59.000Z	RT @UniteSharon: This is now a fight to save the #NHS itself.  Rishi Sunak has to get serious about the crisis engulfing the NHS.  Make no…	0		Twitter for Android	Siewyin Au	SiewyinA	en	88		0	0	0	0
Rishi Sunak	1591199031572967424	2022-11-11T22:39:46.000Z	RT @Sherelle_E_J: Without a vision for the country or a grip on immigration, there is every likelihood that the Tories under Rishi Sunak wi…	0		Twitter Web App	MARGARETTE NAVIN	margnav	en	73		0	0	0	0
Rishi Sunak	1591198994323193862	2022-11-11T22:39:37.000Z	Rishi Sunak risks a repeat of post-pandemic mistake with delay on plan to boost growth #SmartNews  https://t.co/90hJmsfhIO	0		Twitter for iPhone	KandyKayne	cwrujd	en	0		0	0	0	0
Rishi Sunak	1591198958298071041	2022-11-11T22:39:29.000Z	#ToryIncompetence #ToryChaos #ToriesUnfitToGovern #ToriesDevoidOfShame  Dominic Raab MOJ Ministry of Justice Rishi Sunak Bully Bullying  #TOTMATOGATE    #SACKdominicraab   #toriesareSCUM https://t.co/YIM9DfWOs3 https://t.co/02mB4ucitr	0		Twitter Web App	⚡️ DR. H. LEKTER (Sir) ⚡️	Dr__H__Lekter	en	0		0	0	0	0
Rishi Sunak	1591198919286988800	2022-11-11T22:39:20.000Z	RT @MargaretEasto13: What is happening to the 3.8m#ExcludedUK should be on the News.We really want to know what is happening to them as the…	0		Twitter for iPhone	Anthony Powell	AnthonyPowell9	en	18		0	0	0	0
